track_name,artist_name,album_name,release_date,popularity,track_id,region
Can’t Escape,Elisabeth Grey,Can’t Escape,2024-09-07,21,21ISwOvZzzaG0wYNpCvenK,UK
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,49,0UYnhUfnUj5adChuAXvLUB,UK
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,89,51rfRCiUSvxXlCSCfIztBy,UK
On U,MENA,On U,2021-10-22,10,11wz2EFG43cL28Gupp2ORZ,UK
Stargazing,Myles Smith,Stargazing,2024-05-10,86,3Vr3zh0r7ALn8VLqCiRR10,UK
Big Dawgs,"Hanumankind, Kalmi",Big Dawgs,2024-07-09,82,0OA00aPt3BV10qeMIs3meW,UK
How The Great Have Fallen,"Kode PinK, bnji",How The Great Have Fallen,2024-08-02,36,7M92CIeYeVmMNSV5O6XG8e,UK
WE PRAY - Single Version,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",WE PRAY,2024-08-23,73,2sKHevALE8DKDkwEo04Pbh,UK
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,53,29ZAW0BAp6O4C6fUncCjBk,UK
Shallow End,Domina,Shallow End,2024-11-08,19,3VtKS1BFxoMaiKGxJyt8v2,UK
feelslikeimfallinginlove - Single Version,Coldplay,feelslikeimfallinginlove,2024-06-21,74,1YsU8rW2u8z4F0pwOBQ4Ea,UK
Like a Prayer,Madonna,Celebration (double disc version),2009-09-18,74,1z3ugFmUKoCzGsI6jdY4Ci,UK
Reach You - Zack Martino & Matt Steffanina Remix,"Mesa & Boss, Vorwerk, HALIENE, Zack Martino, Matt Steffanina",Reach You (Zack Martino & Matt Steffanina Remix),2024-12-20,42,6oJbGUvqzRnHg8jrQFhArN,UK
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,92,3QaPy1KgI7nu9FJEQUgn6h,UK
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,45,1PwsO9T862TqEyq4ZiuTME,UK
Miracle,"CARSTN, Jeoff Harris",Miracle,2024-12-20,47,2x3btSPsMTPhd0SwE3IPJy,UK
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,87,1XBYiRV30ykHw5f4wm6qEn,UK
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,2024-05-10,62,6N26C3tVDH3PKG0IrCIMSk,UK
Snow Flakes,"MENA, Carlos Stephens",Snow Flakes,2024-12-10,37,6kjxCx6mBsQH4Boh108pED,UK
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,2024-04-18,83,2OzhQlSqBEmt7hmkYxfT6m,UK
Too Sweet,Hozier,Unheard,2024-03-22,78,3HMY0r2BAdpasXMY8rseR0,UK
Talk To Me,"Kode PinK, Faze",Talk To Me,2024-02-02,30,1JHeyq2fGACVam8hfIrdKW,UK
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,47,5jZhbVyA4j9MzLrBYKs35Z,UK
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,50,5O4SPACkaBSKjBJEPYJwfQ,UK
YOU ARE BEAUTY,Pamela Laws,YOU ARE BEAUTY,2025-01-17,12,5hFh2u68qpa55MkqArdGPx,UK
Espresso,Sabrina Carpenter,Espresso,2024-04-12,88,2qSkIjg1o9h3YT9RAgYN75,UK
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,85,6tNQ70jh4OwmPGpYy6R2o9,UK
Seaside,Coffee Cub,Seaside,2024-12-13,43,21K4Ok0JRcsMolAUYmA7fq,UK
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,83,2GxrNKugF82CnoRFbQfzPf,UK
Lose Control,Teddy Swims,Lose Control,2023-06-23,81,6usohdchdzW9oML7VC4Uhk,UK
Coming Home (I.M.U),TATE SEDAR,Coming Home (I.M.U),2024-12-06,24,1o9nOzUqCT4VneL98x4amD,UK
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,2024-02-09,56,7cPPeSxJ1VNAzUFH3Ms4Tm,UK
Austin (Boots Stop Workin'),Dasha,Austin (Boots Stop Workin'),2023-11-16,60,69wVo2cAAD7O9XSpSpTBAu,UK
This Moment (featuring Maurico),"My Silent Bravery, Maurico",This Moment (featuring Maurico),2024-11-15,37,5j6ZCjUJZ08suduy9nUiil,UK
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,81,46kspZSY3aKmwQe7O77fCC,UK
Belong Together,Mark Ambor,Belong Together,2024-02-16,79,5uQ7de4EWjb3rkcFxyEOpu,UK
Let My People Go,Pastor Nate 'n The Traveling Mercy,Let My People Go,2024-12-09,36,33kAYX9QP5IHiAoPT7GCZx,UK
Scared To Start,Michael Marcagi,Scared To Start,2024-01-12,82,3Pbp7cUCx4d3OAkZSCoNvn,UK
Push Ups,Drake,Push Ups,2024-04-19,72,3eh51r6rFWAlGQRlHx9QnQ,UK
OMG,Rafasan,OMG,2024-11-15,31,1kHKHW53V4DDKdz8cZeNMg,UK
Stick Season,Noah Kahan,Stick Season,2022-10-14,86,0mflMxspEfB0VbI1kyLiAv,UK
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,65,1SviOIgEA8sEPVgYEdCpnh,UK
WHEN YOU SLEEP,REAL MUSIC BAND,REAL,2024-07-19,16,1iBj2ul9pC9BgsEhn5Yb0s,UK
Happier (feat. Clementine Douglas),"The Blessed Madonna, Clementine Douglas",Happier (feat. Clementine Douglas),2024-02-02,66,1TcF5F10EN17vraisG1gQv,UK
Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,2024-02-07,71,3lMzT16MjAKKXF7pSZn13B,UK
Indecent Proposition,Adrian Roman,Indecent Proposition EP,2024-08-30,22,0Bs5McFxQvk69OANWp80iS,UK
Illusion,Dua Lipa,Illusion,2024-04-11,42,59xD5osEFsaNt5PXfIKUnX,UK
Alibi (feat. Rudimental),"Ella Henderson, Rudimental",Alibi (feat. Rudimental),2024-01-12,72,5Jpz4nv8nA6FIYO5gEyQa2,UK
Yo Gaba,"Ben Bacardi, Pelle",Yo Gaba,2024-08-10,22,7h202ewosZbcw244vcDwGR,UK
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,92,0WbMK4wrZ1wFSty9F7FCgu,UK
Whatever She Wants,Bryson Tiller,Whatever She Wants,2024-02-12,43,4VfWJbVBErPQrB6ia3FGRA,UK
Overload,TATE SEDAR,Overload,2024-10-31,26,2sQbUjCGDqTcFgzE45O3Uz,UK
Unwritten,Natasha Bedingfield,Unwritten,2004-08-30,84,3U5JVgI2x4rDyHGObzJfNf,UK
Birds In The Sky,NewEra,Birds In The Sky,2023-12-08,61,50SxWFCvmZCYcpKWPZECES,UK
Stinkbug (Towards the Dark),Space Memory Effect,Stinkbug (Towards the Dark),2024-11-15,29,4iE9kOV7YjxXRiEJMzPyQ3,UK
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-20,50,5M2KX4eOJLWlPdjV1UPwzS,UK
Hell N Back (feat. Summer Walker),"Bakar, Summer Walker",Hell N Back (feat. Summer Walker),2023-09-21,69,0ZDwhNFZnPx9EIPCcwGUHC,UK
You Break Me,Shoshana Ami,Baby,2024-10-04,23,1NRHBv1EZYKPCHiEs6FYmt,UK
I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,2024-04-05,84,331l3xABO0HMr1Kkyh2LZq,UK
Back On 74,Jungle,Volcano,2023-08-11,78,19kHhX6f6EfLU7rcO3RqjO,UK
Sober,ET Boys,Sober,2021-06-25,34,6yXxGLfqdrFNj4S1ylpWcQ,UK
Saturn,SZA,Saturn,2024-02-22,82,1bjeWoagtHmUKputLVyDxQ,UK
Slow It Down,Benson Boone,Slow It Down,2024-03-21,71,6WO7IDGLakjO38lsvI2gHB,UK
if you're up for it,Indira Ellis,if you're up for it,2024-11-01,26,4n3TQgEpW1ROgyzVxzMZC8,UK
Forget About Us,Perrie,Forget About Us,2024-04-12,28,3wmnP7CY38ajyGfZUZ6vce,UK
Green & Gold (feat. Charlotte Plank & Riko Dan),"Rudimental, Skepsis, Charlotte Plank, Riko Dan",Green & Gold (feat. Charlotte Plank & Riko Dan),2024-02-23,62,0JI8koDoC5crQbIjhSty59,UK
When the Lights Go Out,Marc Sway,When the Lights Go Out,2024-09-27,30,2lbjzuXnXIAglT0f7ghw5o,UK
Cry No More (feat. Stormzy & Tay Keith),"Headie One, Stormzy, Tay Keith",Cry No More (feat. Stormzy & Tay Keith),2024-04-19,57,1RAwKDC2VKpxLy6es0KZTJ,UK
End of Beginning,Djo,DECIDE,2022-09-16,88,3qhlB30KknSejmIvZZLjOD,UK
The Right Guy,Yafania,The Right Guy,2024-07-19,31,7hsRr5OlAWrpnXgf6LCs0Y,UK
These Words,"Badger, Natasha Bedingfield",These Words,2024-04-05,74,7leW1Dmvs9A4oDh9i5Qwpz,UK
Lovers In A Past Life (with Rag'n'Bone Man),"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,62,6v4ABPB255HDSWyIj3S9Wn,UK
The Right Guy,Yafania,The Right Guy,2024-07-19,31,7hsRr5OlAWrpnXgf6LCs0Y,UK
Home,Good Neighbours,Home,2024-01-17,22,6dpLxbF7lfCAnC9QRTjNLK,UK
Jump,"Tyla, Gunna, Skillibeng",Jump,2024-03-20,66,0ve0CavjqrUqVmZ605RhTV,UK
Let's Make Our Love Last - Remix,"Mike Di Lorenzo, Anna Moore",Slo' Jams,2024-08-30,34,3uQtU1E7VQKLkE95Kuu63H,UK
Prada (feat. D-Block Europe),"cassö, RAYE, D-Block Europe",Prada (feat. D-Block Europe) [Clean],2023-09-05,43,5vR56XmFwKehzvCl0XHdRw,UK
obsessed,Olivia Rodrigo,GUTS (spilled),2024-03-22,54,0pWB4X7xxFaTyQYdXXXpYw,UK
Long Time,Matthew W Charles,Shark,2024-11-06,22,55BJhLpMbwTygFXEogEQ8i,UK
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,96,3sK8wGT43QFpWrvNQsrQya,USA
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe,USA
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-21,87,2CGNAOSuO1MEFCbBRgUzjd,USA
All,Zoe Ray,All,2025-01-17,12,6IHb9PMB9Xqw3igHksDQxt,USA
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,2lTm559tuIvatlT1u0JYG2,USA
Dig a Little Deeper,Daniel Quick,Dig a Little Deeper,2024-10-25,28,5G0lqOPOOjNlB4lamtdyKa,USA
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,91,0aB0v4027ukVziUGwVGYpG,USA
Lost Time,CLYDE,Lost Time,2024-09-27,26,2R5MSYdHPD8sKc4BM0y4UZ,USA
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,96,7ne4VBA60CxGM75vw0EYad,USA
Walk Alone,Marcus Lindeberg,Walk Alone,2024-09-20,23,0jjmpCxUw8iZz23QKF9xTb,USA
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,93,5TFD2bmFKGhoCRbX61nXY5,USA
Revolution,23 TheMiracle,Revolution,2024-09-15,22,5AuHi02V7j43JuJ0eoiGG9,USA
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-28,89,3tFed7YsjGnIfxeLEQwx3R,USA
