track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
Move,Adam Port,Move,2024-06-07,84,1BJJbSX6muJVF2AK7uH1x4,UK,"['Stryv', 'Keinemusik', 'Orso', 'Malachiii']",English
Bye Bye Bye,*NSYNC,No Strings Attached,2000-03-21,72,4r8lRYnoOGdEi6YyI5OC1o,UK,[],English
Come Fly With Me,Kevin Fitzgerald,Introducing Kevin Fitzgerald,2021-09-23,12,3uZbLbNsf2byR9kp3rYLi1,UK,[],English
Angel Of My Dreams,JADE,Angel Of My Dreams,2024-07-19,67,46cW6zufU9Woo11TLs2i6X,UK,[],English
The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,86,3dj4wgM3cPeuLwMNHDuBon,UK,[],English
Can’t Escape,Elisabeth Grey,Can’t Escape,2024-09-07,21,21ISwOvZzzaG0wYNpCvenK,UK,[],English
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,48,0UYnhUfnUj5adChuAXvLUB,UK,[],English
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,89,51rfRCiUSvxXlCSCfIztBy,UK,[],English
On U,MENA,On U,2021-10-22,11,11wz2EFG43cL28Gupp2ORZ,UK,[],English
Stargazing,Myles Smith,Stargazing,2024-05-10,86,3Vr3zh0r7ALn8VLqCiRR10,UK,[],English
Big Dawgs,Hanumankind,Big Dawgs,2024-07-09,82,0OA00aPt3BV10qeMIs3meW,UK,['Kalmi'],English
How The Great Have Fallen,Kode PinK,How The Great Have Fallen,2024-08-02,36,7M92CIeYeVmMNSV5O6XG8e,UK,['bnji'],English
WE PRAY - Single Version,Coldplay,WE PRAY,2024-08-23,73,2sKHevALE8DKDkwEo04Pbh,UK,"['Little Simz', 'Burna Boy', 'Elyanna', 'TINI']",English
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,53,29ZAW0BAp6O4C6fUncCjBk,UK,[],English
Shallow End,Domina,Shallow End,2024-11-08,19,3VtKS1BFxoMaiKGxJyt8v2,UK,[],English
feelslikeimfallinginlove - Single Version,Coldplay,feelslikeimfallinginlove,2024-06-21,74,1YsU8rW2u8z4F0pwOBQ4Ea,UK,[],English
Like a Prayer,Madonna,Celebration (double disc version),2009-09-18,74,1z3ugFmUKoCzGsI6jdY4Ci,UK,[],English
